composition,hardness,load
W0.5Nb0.5B2.1,32.2766464,0.98
W0.5Sc0.5B11.6,34.73389654,0.98
W0.5Ta0.5B,34.0,0.98
W0.5Ta0.5B2.1,28.5809234,0.98
W0.5Tb0.5B11.6,32.32786885,0.98
W0.5Y0.5B11.6,34.46466469,0.98
W0.6Nb0.4B2.1,33.01710713,0.98
W0.75Sc0.25B11.6,34.52687623,0.98
W0.88Ta0.02Cr0.1B4,43.0,0.98
W0.88Ta0.02Mn0.1B4,36.9,0.98
W0.8Dy0.2B11.6,33.71707317,0.98
W0.8Er0.2B11.6,35.23517864,0.98
W0.8Gd0.2B11.6,32.76877761,0.98
W0.8Ho0.2B11.6,36.29333333,0.98
W0.8Nb0.2B2.1,33.21809384,0.98
W0.8Sc0.2B11.6,34.78205484,0.98
W0.8Ta0.2B2.1,31.54699579,0.98
W0.8Tb0.2B11.6,32.32786885,0.98
W0.8Y0.2B11.6,32.87785036,0.98
W0.93Ta0.02Cr0.05B4,44.1,0.98
W0.94Ta0.02Mn0.04B4,46.7,0.98
W0.94Ta0.06B2.1,29.86134618,0.98
W0.9Dy0.1B11.6,33.30731707,0.98
W0.9Er0.1B11.6,34.3557126,0.98
W0.9Gd0.1B11.6,35.83210604,0.98
W0.9Ho0.1B11.6,35.36,0.98
W0.9Nb0.1B2.1,32.10979226,0.98
W0.9Sc0.1B11.6,36.29956011,0.98
W0.9Ta0.1B2.1,28.81489784,0.98
W0.9Tb0.1B11.6,35.60655738,0.98
W0.9Y0.1B11.6,37.01331939,0.98
W2C,20.5,0.98
WB11.6,34.06805683,0.98
WB2.1,25.92951778,0.98
WB4,38.0,0.98
Y0.05Sc0.95CrB4,29.94742376,0.98
Y0.05Sc1.95ReB6,32.4633275,0.98
Y0.25Hf0.25Gd0.5B20,30.9,0.98
Y0.25Hf0.5Gd0.25B20,35.9,0.98
Y0.25Hf0.75B20,36.5,0.98
Y0.25Sc0.75CrB4,32.0084122,0.98
Y0.25Sc1.75ReB6,32.39077837,0.98
